YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1941,-4.47,-5.19,-3.07,9.59,13.52,19.80,22.29,19.12,17.89,11.24,6.03,0.63,-3.22,6.68,20.40,11.72,8.89
1942,-4.45,-6.61,2.09,9.30,14.78,19.38,20.80,20.12,16.46,11.43,4.57,-3.76,-3.48,8.72,20.10,10.82,9.04
1943,-5.66,-3.23,-0.46,3.12,12.32,20.40,21.96,20.37,15.99,9.08,3.00,-3.05,-4.22,4.99,20.91,9.36,7.76
1944,-1.20,-3.92,-0.85,4.96,17.34,19.43,22.39,22.45,17.36,10.18,5.51,-3.73,-2.72,7.15,21.42,11.02,9.22
1945,-8.84,-3.19,6.79,9.78,10.33,17.70,21.17,21.23,17.81,9.82,4.97,-4.81,-5.25,8.97,20.03,10.87,8.65
1946,-2.79,-4.15,6.75,6.85,12.74,17.75,21.76,18.77,17.92,13.62,6.74,-0.37,-3.92,8.78,19.43,12.76,9.26
1947,-1.35,-5.87,-1.31,6.22,11.52,18.71,20.28,23.95,17.69,15.40,3.25,-2.15,-2.53,5.48,20.98,12.11,9.01
1948,-7.53,-3.82,1.44,9.15,11.73,18.33,22.19,21.17,18.19,9.67,8.31,0.13,-4.50,7.44,20.56,12.06,8.89
1949,-0.49,-0.24,0.84,7.41,14.18,22.25,23.42,21.94,14.83,13.89,3.26,0.62,-0.20,7.48,22.54,10.66,10.12
1950,1.27,-4.09,-2.17,4.31,13.92,18.23,20.44,20.22,15.85,12.50,3.77,-2.81,-0.73,5.35,19.63,10.71,8.74
1951,-2.04,-2.64,1.72,7.12,13.97,18.95,21.19,20.16,16.16,12.43,1.19,-0.89,-2.50,7.60,20.10,9.93,8.78
1952,-2.06,-1.70,0.72,8.87,12.05,19.51,23.38,21.06,17.19,7.96,5.96,0.60,-1.55,7.21,21.32,10.37,9.34
1953,-0.48,-0.87,2.43,6.53,13.42,19.62,21.91,21.24,17.09,12.29,6.50,1.29,-0.25,7.46,20.92,11.96,10.02
1954,-4.87,0.45,0.35,8.41,12.36,19.98,20.78,19.27,16.67,12.04,5.25,-1.96,-1.04,7.04,20.01,11.32,9.33
1955,-4.13,-2.42,0.88,10.45,15.08,19.23,24.34,23.09,16.56,12.12,3.59,-3.93,-2.84,8.80,22.22,10.76,9.74
1956,-4.23,-2.20,-0.92,6.01,11.57,18.96,20.39,20.40,14.85,12.81,5.41,1.09,-3.45,5.55,19.92,11.02,8.26
1957,-6.48,-0.82,2.03,9.19,12.50,20.49,20.84,19.45,16.75,9.90,4.78,1.42,-2.07,7.91,20.26,10.48,9.14
1958,-3.95,-6.58,1.27,8.85,12.07,16.50,21.67,20.32,16.58,11.09,5.32,-5.57,-3.04,7.40,19.50,11.00,8.71
1959,-5.55,-4.46,-0.72,7.63,15.51,19.20,22.52,23.63,19.21,11.30,3.54,0.04,-5.19,7.47,21.78,11.35,8.85
1960,-3.22,-2.78,-4.51,8.96,14.35,18.62,20.47,999.90,999.90,999.90,999.90,999.90,-1.99,6.27,19.72,999.90,8.69
1961,-7.07,-2.61,1.65,4.77,12.16,17.89,21.42,21.31,20.75,12.91,5.31,-0.82,-3.91,6.19,20.21,12.99,8.87
1962,-4.81,-5.51,0.69,7.60,16.48,18.73,20.56,20.48,15.18,11.28,3.27,-3.41,-3.71,8.26,19.92,9.91,8.59
1963,-6.83,-6.88,2.32,7.22,12.01,19.75,21.66,18.38,14.37,14.40,6.90,-4.81,-5.71,7.18,19.93,11.89,8.32
1964,-1.53,-4.78,1.07,8.26,15.09,18.69,22.79,18.26,16.00,8.88,5.59,-1.43,-3.71,8.14,19.91,10.16,8.63
